,nanPerc,nullPerc,mean,stdev,min,25%,50%,75%,95%,97.5%,max
628.0,0.0,72.6,2.9,6.8,0,0,0,1,19,24,57
489.0,0.0,32.8,2.9,3.0,0,0,2,5,9,10,16
474.0,0.0,34.2,2.9,3.2,0,0,2,5,9,10,18
101.0,0.0,51.5,2.9,5.4,0,0,0,4,14,18,51
483.0,0.0,36.5,3.0,3.4,0,0,2,5,10,11,20
659.0,0.0,70.8,3.0,6.2,0,0,0,3,18,22,34
208.0,0.0,22.7,3.1,3.3,0,1,2,5,9,11,24
209.0,0.0,14.6,3.1,2.5,0,1,3,5,8,9,17
203.0,0.0,17.2,3.2,2.8,0,1,3,5,8,10,16
637.0,0.0,72.9,3.3,7.2,0,0,0,1,21,26,62
515.0,0.0,44.2,3.3,4.1,0,0,2,6,11,13,20
453.0,0.0,32.3,3.4,3.8,0,0,2,5,11,13,21
403.0,0.0,32.8,3.4,3.8,0,0,2,5,11,12,25
449.0,0.0,28.8,3.5,3.2,0,0,3,6,9,10,16
204.0,0.0,16.3,3.5,3.2,0,1,3,5,10,11,26
278.0,0.0,16.5,3.5,3.1,0,1,3,5,9,11,20
520.0,0.0,42.3,3.6,4.3,0,0,2,6,12,14,25
265.0,0.0,35.2,3.6,5.5,0,0,1,5,15,19,71
472.0,0.0,31.1,3.6,3.9,0,0,2,6,11,13,24
135.0,0.0,16.7,3.6,3.4,0,1,3,5,10,12,26
132.0,0.0,18.9,3.6,3.6,0,1,3,5,10,12,31
471.0,0.0,30.9,3.7,4.0,0,0,3,6,11,13,38
481.0,0.0,37.5,3.7,5.3,0,0,2,5,14,19,48
279.0,0.0,13.9,3.7,3.4,0,1,3,5,10,12,37
492.0,0.0,34.3,3.8,4.3,0,0,2,6,12,14,25
498.0,0.0,34.4,3.8,4.6,0,0,2,6,13,16,38
497.0,0.0,31.3,3.8,4.0,0,0,3,7,12,13,23
499.0,0.0,31.2,3.8,4.1,0,0,3,6,12,13,23
475.0,0.0,30.1,3.9,4.3,0,0,3,6,12,15,35
382.0,0.0,32.8,3.9,4.5,0,0,2,6,13,15,26
523.0,0.0,42.9,3.9,5.0,0,0,2,7,13,17,35
434.0,0.0,32.9,4.1,4.9,0,0,2,6,14,17,30
171.0,0.0,15.9,4.1,3.6,0,1,3,6,11,13,21
486.0,0.0,29.4,4.1,4.1,0,0,3,7,12,14,23
462.0,0.0,30.9,4.1,4.1,0,0,3,7,12,13,25
490.0,0.0,30.2,4.1,4.3,0,0,3,7,12,15,26
657.0,0.0,70.5,4.1,7.9,0,0,0,5,23,27,52
354.0,0.0,32.8,4.2,5.3,0,0,2,6,15,18,39
218.0,0.0,29.3,4.2,5.0,0,0,2,6,14,17,34
603.0,0.0,44.8,4.2,5.7,0,0,2,7,15,18,38
252.0,0.0,12.1,4.2,3.8,0,1,3,6,11,14,29
103.0,0.0,32.9,4.2,4.9,0,0,3,7,14,17,30
402.0,0.0,30.7,4.4,4.7,0,0,3,8,13,15,27
406.0,0.0,41.6,4.4,7.6,0,0,1,5,21,28,56
509.0,0.0,30.4,4.4,5.7,0,0,2,7,15,19,64
491.0,0.0,29.7,4.4,4.8,0,0,3,7,14,16,28
365.0,0.0,31.3,4.5,4.7,0,0,3,7,14,16,23
605.0,0.0,44.6,4.5,5.8,0,0,2,8,16,19,41
275.0,0.0,13.5,4.6,4.2,0,1,4,7,13,15,34
124.0,0.0,11.0,4.7,4.1,0,2,4,7,12,15,33
501.0,0.0,29.0,4.8,4.9,0,0,3,8,14,16,27
478.0,0.0,28.0,4.8,4.5,0,0,4,8,13,14,21
604.0,0.0,42.2,4.9,5.8,0,0,3,9,16,19,36
280.0,0.0,10.7,4.9,3.9,0,2,4,7,12,14,27
597.0,0.0,42.9,5.0,6.2,0,0,2,9,17,20,40
503.0,0.0,29.0,5.0,5.3,0,0,4,8,16,18,32
207.0,0.0,9.3,5.0,3.7,0,2,4,7,12,13,26
482.0,0.0,27.4,5.0,4.6,0,0,5,8,13,15,26
425.0,0.0,27.9,5.1,4.9,0,0,4,8,14,17,39
457.0,0.0,27.8,5.1,5.0,0,0,4,8,15,17,28
639.0,0.0,75.8,5.1,15.0,0,0,0,0,38,54,136
622.0,0.0,52.7,5.2,7.4,0,0,0,9,21,24,44
432.0,0.0,28.7,5.2,5.2,0,0,4,9,15,17,27
505.0,0.0,28.7,5.3,5.6,0,0,4,8,17,19,28
673.0,0.0,82.7,5.4,17.2,0,0,0,0,42,62,160
206.0,0.0,7.6,5.4,4.0,0,2,5,8,13,15,25
672.0,0.0,82.6,5.4,14.3,0,0,0,0,41,51,102
635.0,0.0,70.8,5.5,10.3,0,0,0,7,30,35,52
274.0,0.0,8.4,5.7,4.3,0,2,5,8,13,16,27
502.0,0.0,29.9,5.7,6.2,0,0,4,9,18,21,49
636.0,0.0,70.5,5.9,11.5,0,0,0,6,33,40,75
263.0,0.0,19.0,6.0,7.0,0,1,3,9,20,24,59
493.0,0.0,26.6,6.1,5.6,0,0,5,10,17,18,27
147.0,0.0,14.1,6.1,5.9,0,2,5,9,17,21,40
504.0,0.0,28.3,6.2,6.2,0,0,5,10,18,20,31
122.0,0.0,10.6,6.2,5.1,0,2,5,10,16,18,27
215.0,0.0,13.2,6.2,5.6,0,2,5,9,17,20,40
297.0,0.0,10.7,6.3,5.3,0,2,5,9,17,19,31
330.0,0.0,10.4,6.3,5.5,0,2,5,9,17,19,31
267.0,0.0,20.4,6.4,8.0,0,1,3,9,23,30,58
185.0,0.0,7.2,6.4,5.5,0,2,5,9,17,21,43
170.0,0.0,5.4,6.7,4.6,0,3,6,9,15,17,43
624.0,0.0,56.1,6.7,10.1,0,0,0,12,29,33,50
626.0,0.0,60.7,6.7,11.1,0,0,0,10,32,37,89
